time,memb_voltage
394.2,-61.40561656008777
394.21000000000004,-61.406762186022114
394.22,-61.40790768208566
394.23,-61.40905304695592
394.24,-61.41019827932783
394.25,-61.411343377913866
394.26,-61.41248834144424
394.27,-61.413633168667026
394.28000000000003,-61.41477785834839
394.29,-61.415922409272646
394.3,-61.4170668202425
394.31,-61.418211090079204
394.32,-61.41935521762265
394.33,-61.420499201731616
394.34000000000003,-61.42164303188952
394.35,-61.4227867144745
394.36,-61.42393024870234
394.37,-61.425073633390404
394.38,-61.426216867371
394.39,-61.42735994949141
394.40000000000003,-61.42850287861405
394.41,-61.42964565361643
394.42,-61.430788273391364
394.43,-61.431930736846944
394.44,-61.43307304290668
394.45,-61.43421519050954
394.46000000000004,-61.435357178610076
394.47,-61.43649900617842
394.48,-61.437640672200466
394.49,-61.438782175677865
394.5,-61.43992351562815
394.51,-61.44106469108479
394.52,-61.44220570109727
394.53000000000003,-61.443346544731206
394.54,-61.44448722106836
394.55,-61.445627729206755
394.56,-61.44676806826077
394.57,-61.44790823736119
394.58,-61.44904823565528
394.59000000000003,-61.45018806230691
394.6,-61.45132771649654
394.61,-61.45246719236569
394.62,-61.45360648986137
394.63,-61.454745611167304
394.64,-61.45588455542971
394.65000000000003,-61.45702332180778
394.66,-61.45816190947364
394.67,-61.45930031761241
394.68,-61.46043854542219
394.69,-61.46157659211406
394.7,-61.46271445691209
394.71000000000004,-61.463852139053344
394.72,-61.4649896377879
394.73,-61.46612695237885
394.74,-61.4672640821023
394.75,-61.46840102624738
394.76,-61.46953778411626
394.77,-61.470674355024165
394.78000000000003,-61.47181073829935
394.79,-61.472946933283104
394.8,-61.47408293932983
394.81,-61.47521875580696
394.82,-61.47635438209501
394.83,-61.47748981758759
394.84000000000003,-61.4786250616914
394.85,-61.47976011382622
394.86,-61.480894973424945
394.87,-61.48202963993358
394.88,-61.483164111363706
394.89,-61.48429838389292
394.90000000000003,-61.485432460822516
394.91,-61.48656634158146
394.92,-61.48770002560908
394.93,-61.48883351235499
394.94,-61.489966801279024
394.95,-61.49109989185126
394.96000000000004,-61.49223278355192
394.97,-61.493365475871315
394.98,-61.49449796830987
394.99,-61.495630260378036
395.0,-61.496762351596246
395.01,-61.49789424149489
395.02,-61.49902592961426
395.03000000000003,-61.500157415504525
395.04,-61.501288698725645
395.05,-61.50241977884738
395.06,-61.503550655449246
395.07,-61.50468132812041
395.08,-61.50581179645974
395.09000000000003,-61.50694206007567
395.1,-61.50807211858622
395.11,-61.509201971618936
395.12,-61.51033161881085
395.13,-61.51146105980842
395.14,-61.51259029426752
395.15000000000003,-61.513719321853365
395.16,-61.51484813838063
395.17,-61.51597674646763
395.18,-61.51710514613894
395.19,-61.51823333705903
395.2,-61.519361318900216
395.21000000000004,-61.5204890913426
395.22,-61.521616654073966
395.23,-61.5227440067898
395.24,-61.52387114919315
395.25,-61.5249980809946
395.26,-61.5261248019122
395.27,-61.527251311671414
395.28000000000003,-61.52837761000504
395.29,-61.52950369665316
395.3,-61.53062957136307
395.31,-61.53175523388925
395.32,-61.53288068399324
395.33,-61.534005921443644
395.34000000000003,-61.53513094601601
395.35,-61.53625575749282
395.36,-61.53738035566338
395.37,-61.53850474032381
395.38,-61.53962891127693
395.39,-61.54075286833223
395.40000000000003,-61.54187661130581
395.41,-61.54300014002028
395.42,-61.54412345430475
395.43,-61.545246553994744
395.44,-61.546369438932125
395.45,-61.547492108965045
395.46000000000004,-61.54861456394789
395.47,-61.54973680347459
395.48,-61.550858825145845
395.49,-61.5519806310024
395.5,-61.55310222089921
395.51,-61.55422359469634
395.52,-61.55534475225884
395.53000000000003,-61.55646569345672
395.54,-61.55758641816483
395.55,-61.55870692626283
395.56,-61.559827217635075
395.57,-61.56094729217056
395.58,-61.56206714976285
395.59000000000003,-61.56318679031001
395.6,-61.56430621371449
395.61,-61.565425419883084
395.62,-61.56654440872688
395.63,-61.56766318016112
395.64,-61.56878173410519
395.65000000000003,-61.5699000704825
395.66,-61.571018189220425
395.67,-61.57213609025024
395.68,-61.57325377350703
395.69,-61.57437123892962
395.7,-61.57548848646052
395.71000000000004,-61.57660551604582
395.72,-61.57772232763511
395.73,-61.57883892118144
395.74,-61.579955296641245
395.75,-61.581071453974225
395.76,-61.582187393143315
395.77,-61.58330311411459
395.78000000000003,-61.584418616857214
395.79,-61.58553390138011
395.8,-61.58664896771943
395.81,-61.58776381577251
395.82,-61.58887844552118
395.83,-61.589992856949955
395.84000000000003,-61.59110705004604
395.85,-61.59222102479921
395.86,-61.59333478120177
395.87,-61.59444831924845
395.88,-61.59556163893636
395.89,-61.596674740264895
395.90000000000003,-61.59778762323567
395.91,-61.598900287852416
395.92,-61.60001273412098
395.93,-61.60112496204917
395.94,-61.602236971646725
395.95,-61.60334876292523
395.96000000000004,-61.60446033589805
395.97,-61.60557169058023
395.98,-61.60668282698846
395.99,-61.60779374514097
396.0,-61.60890444505746
396.01,-61.61001492675906
396.02,-61.61112519026819
396.03000000000003,-61.61223523560856
396.04,-61.613345062805024
396.05,-61.61445467188358
396.06,-61.61556406287122
396.07,-61.61667323579593
396.08,-61.617782190686555
396.09000000000003,-61.618890927572764
396.1,-61.61999944648495
396.11,-61.62110774754132
396.12,-61.62221583079407
396.13,-61.623323696192436
396.14,-61.62443134377062
396.15000000000003,-61.62553877356324
396.16,-61.62664598560525
396.17,-61.6277529799319
396.18,-61.628859756578606
396.19,-61.62996631558095
396.2,-61.63107265697455
396.21000000000004,-61.63217878079501
396.22,-61.63328468707783
396.23,-61.63439037585836
396.24,-61.635495847171704
396.25,-61.636601101052655
396.26,-61.63770613753563
396.27,-61.638810956654574
396.28000000000003,-61.639915558442915
396.29,-61.641019942933454
396.3,-61.64212411015834
396.31,-61.643228060148964
396.32,-61.64433179293588
396.33,-61.645435308548755
396.34000000000003,-61.646538607016296
396.35,-61.647641688366136
396.36,-61.64874455262481
396.37,-61.64984719981768
396.38,-61.6509496299688
396.39,-61.652051843100935
396.40000000000003,-61.653153839235415
396.41,-61.65425561839207
396.42,-61.65535718058921
396.43,-61.65645853186685
396.44,-61.65755966994894
396.45,-61.658660592342656
396.46000000000004,-61.65976129913779
396.47,-61.66086179042488
396.48,-61.661962066295274
396.49,-61.66306212684102
396.5,-61.66416197215489
396.51,-61.66526160233031
396.52,-61.66636101746135
396.53000000000003,-61.66746021764268
396.54,-61.668559202969526
396.55,-61.66965797353769
396.56,-61.670756529443445
396.57,-61.67185487078357
396.58,-61.67295299765525
396.59000000000003,-61.674050910156126
396.6,-61.67514860838418
396.61,-61.67624609243774
396.62,-61.67734336241548
396.63,-61.67844041841633
396.64,-61.67953726053947
396.65000000000003,-61.68063388888432
396.66,-61.68173030355045
396.67,-61.68282650463762
